#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.00,0.00
1,1000,8.09,0.12
2,1000,8.08,0.25
4,1000,8.07,0.50
8,1000,8.09,0.99
16,1000,8.05,1.99
32,1000,8.00,4.00
64,1000,8.06,7.94
128,1000,8.42,15.20
256,1000,8.49,30.16
512,1000,8.52,60.09
1024,1000,9.42,108.69
2048,1000,9.16,223.50
4096,1000,10.65,384.52
8192,1000,11.79,694.85
16384,1000,15.80,1037.04
32768,1000,26.75,1225.04
65536,640,58.09,1128.13
131072,320,83.54,1568.98
262144,160,124.83,2100.05
524288,80,194.97,2689.09
1048576,40,333.57,3143.45
2097152,20,630.81,3324.55
4194304,10,1236.98,3390.75
8388608,5,2454.75,3417.29
16777216,2,4992.59,3360.42
33554432,1,10228.54,3280.47
67108864,1,20277.43,3309.54
134217728,1,40248.90,3334.69
268435456,1,81033.63,3312.64
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.78,0.00
1,1000,7.81,0.13
2,1000,7.81,0.26
4,1000,7.82,0.51
8,1000,7.84,1.02
16,1000,7.82,2.05
32,1000,7.81,4.10
64,1000,7.87,8.13
128,1000,8.25,15.52
256,1000,8.26,31.01
512,1000,8.26,61.97
1024,1000,9.27,110.42
2048,1000,8.83,232.03
4096,1000,10.47,391.33
8192,1000,11.46,714.75
16384,1000,15.58,1051.79
32768,1000,26.01,1259.84
65536,640,58.09,1128.12
131072,320,83.08,1577.68
262144,160,124.86,2099.56
524288,80,195.31,2684.34
1048576,40,333.45,3144.64
2097152,20,629.63,3330.75
4194304,10,1241.92,3377.26
8388608,5,2463.47,3405.20
16777216,2,5001.94,3354.14
33554432,1,10202.28,3288.91
67108864,1,20273.80,3310.13
134217728,1,40869.81,3284.03
268435456,1,82246.55,3263.79
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.61,0.00
1,1000,7.71,0.13
2,1000,7.69,0.26
4,1000,7.64,0.52
8,1000,7.70,1.04
16,1000,7.72,2.07
32,1000,7.64,4.19
64,1000,7.72,8.29
128,1000,8.03,15.94
256,1000,8.03,31.90
512,1000,8.08,63.40
1024,1000,9.20,111.34
2048,1000,8.65,236.74
4096,1000,10.43,392.85
8192,1000,11.26,727.54
16384,1000,15.48,1058.11
32768,1000,26.09,1256.02
65536,640,59.47,1102.04
131072,320,82.43,1590.15
262144,160,124.83,2100.06
524288,80,195.81,2677.58
1048576,40,332.68,3151.92
2097152,20,629.39,3332.04
4194304,10,1236.73,3391.43
8388608,5,2454.36,3417.84
16777216,2,4991.83,3360.94
33554432,1,10232.99,3279.05
67108864,1,20197.44,3322.64
134217728,1,40388.35,3323.18
268435456,1,80527.53,3333.46
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.68,0.00
1,1000,7.76,0.13
2,1000,7.75,0.26
4,1000,7.77,0.51
8,1000,7.79,1.03
16,1000,7.74,2.07
32,1000,7.76,4.13
64,1000,7.75,8.26
128,1000,8.05,15.91
256,1000,8.07,31.70
512,1000,8.13,63.01
1024,1000,9.17,111.63
2048,1000,8.70,235.48
4096,1000,10.45,391.90
8192,1000,11.29,725.53
16384,1000,15.36,1066.62
32768,1000,26.10,1255.26
65536,640,59.34,1104.41
131072,320,82.01,1598.22
262144,160,125.31,2092.03
524288,80,195.93,2675.90
1048576,40,332.55,3153.13
2097152,20,629.48,3331.58
4194304,10,1238.27,3387.24
8388608,5,2453.41,3419.16
16777216,2,4998.91,3356.17
33554432,1,10202.75,3288.76
67108864,1,20383.10,3292.38
134217728,1,40584.76,3307.10
268435456,1,80837.81,3320.67
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.67,0.00
1,1000,7.72,0.13
2,1000,7.75,0.26
4,1000,7.74,0.52
8,1000,7.70,1.04
16,1000,7.78,2.06
32,1000,7.72,4.15
64,1000,7.76,8.24
128,1000,8.03,15.94
256,1000,8.07,31.72
512,1000,8.11,63.11
1024,1000,9.34,109.68
2048,1000,8.63,237.24
4096,1000,10.50,389.97
8192,1000,11.43,716.60
16384,1000,15.69,1044.00
32768,1000,26.62,1231.02
65536,640,58.43,1121.69
131072,320,81.28,1612.58
262144,160,124.58,2104.22
524288,80,193.99,2702.62
1048576,40,330.85,3169.33
2097152,20,629.06,3333.81
4194304,10,1236.63,3391.71
8388608,5,2448.20,3426.43
16777216,2,5000.01,3355.44
33554432,1,10187.57,3293.66
67108864,1,20391.87,3290.96
134217728,1,40455.27,3317.68
268435456,1,80681.99,3327.08
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.98,0.00
1,1000,8.06,0.12
2,1000,8.03,0.25
4,1000,8.09,0.49
8,1000,8.04,1.00
16,1000,8.07,1.98
32,1000,8.08,3.96
64,1000,8.06,7.94
128,1000,8.46,15.13
256,1000,8.43,30.35
512,1000,8.53,60.02
1024,1000,9.47,108.17
2048,1000,9.01,227.41
4096,1000,10.68,383.59
8192,1000,11.67,701.95
16384,1000,15.80,1036.83
32768,1000,26.73,1225.73
65536,640,58.23,1125.42
131072,320,81.82,1601.95
262144,160,124.60,2103.96
524288,80,194.89,2690.20
1048576,40,331.97,3158.62
2097152,20,629.81,3329.81
4194304,10,1238.18,3387.47
8388608,5,2455.00,3416.95
16777216,2,5007.71,3350.27
33554432,1,10144.83,3307.54
67108864,1,20073.91,3343.09
134217728,1,40437.63,3319.13
268435456,1,81016.92,3313.33
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.99,0.00
