#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.20,5.00
2,1000,0.20,10.07
4,1000,0.20,19.90
8,1000,0.20,40.16
16,1000,0.20,79.31
32,1000,0.24,133.25
64,1000,0.24,263.39
128,1000,0.30,426.86
256,1000,0.36,711.72
512,1000,0.40,1283.73
1024,1000,0.50,2033.28
2048,1000,0.76,2682.38
4096,1000,1.14,3592.76
8192,1000,1.90,4320.85
16384,1000,2.98,5500.53
32768,1000,4.84,6774.04
65536,640,8.43,7769.82
131072,320,15.34,8541.95
262144,160,12.62,20779.66
524288,80,22.33,23475.07
1048576,40,51.89,20207.07
2097152,20,139.85,14996.12
4194304,10,314.07,13354.49
8388608,5,935.12,8970.65
16777216,2,2459.82,6820.50
33554432,1,5478.28,6125.00
67108864,1,11174.81,6005.37
134217728,1,22354.89,6003.95
268435456,1,44681.04,6007.82
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.21,0.00
1,1000,0.20,4.96
2,1000,0.20,9.79
4,1000,0.21,19.13
8,1000,0.21,38.53
16,1000,0.21,77.55
32,1000,0.24,133.82
64,1000,0.24,269.58
128,1000,0.31,411.67
256,1000,0.36,720.29
512,1000,0.40,1292.51
1024,1000,0.50,2041.69
2048,1000,0.76,2678.52
4096,1000,1.14,3583.93
8192,1000,1.89,4323.67
16384,1000,2.98,5497.77
32768,1000,4.84,6769.64
65536,640,8.43,7774.51
131072,320,15.30,8564.62
262144,160,12.64,20731.85
524288,80,22.37,23436.83
1048576,40,52.87,19832.54
2097152,20,139.89,14991.79
4194304,10,311.19,13478.27
8388608,5,928.62,9033.42
16777216,2,2455.28,6833.13
33554432,1,5490.11,6111.79
67108864,1,11151.74,6017.79
134217728,1,22357.57,6003.23
268435456,1,44685.46,6007.22
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.20,4.97
2,1000,0.20,9.92
4,1000,0.20,19.89
8,1000,0.20,39.71
16,1000,0.20,79.38
32,1000,0.24,135.49
64,1000,0.23,273.06
128,1000,0.32,405.95
256,1000,0.35,722.26
512,1000,0.41,1257.67
1024,1000,0.49,2084.70
2048,1000,0.76,2694.56
4096,1000,1.14,3591.88
8192,1000,1.89,4329.46
16384,1000,2.98,5492.80
32768,1000,4.85,6752.72
65536,640,8.44,7764.59
131072,320,15.38,8520.22
262144,160,12.59,20822.11
524288,80,22.25,23560.58
1048576,40,51.56,20336.36
2097152,20,139.49,15034.41
4194304,10,311.42,13468.29
8388608,5,933.04,8990.64
16777216,2,2434.81,6890.57
33554432,1,5501.12,6099.56
67108864,1,11160.35,6013.15
134217728,1,22344.85,6006.65
268435456,1,44682.97,6007.56
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.21,0.00
1,1000,0.20,4.97
2,1000,0.20,9.81
4,1000,0.20,19.59
8,1000,0.20,39.12
16,1000,0.20,80.36
32,1000,0.24,133.61
64,1000,0.24,268.27
128,1000,0.32,400.48
256,1000,0.37,690.77
512,1000,0.40,1287.86
1024,1000,0.49,2088.55
2048,1000,0.76,2692.18
4096,1000,1.14,3581.79
8192,1000,1.89,4323.29
16384,1000,2.98,5503.99
32768,1000,4.85,6750.68
65536,640,8.41,7792.14
131072,320,15.31,8563.63
262144,160,12.61,20790.78
524288,80,22.24,23572.96
1048576,40,51.09,20522.52
2097152,20,140.24,14954.52
4194304,10,307.55,13637.80
8388608,5,940.80,8916.46
16777216,2,2443.27,6866.71
33554432,1,5512.09,6087.42
67108864,1,11151.33,6018.02
134217728,1,22376.44,5998.17
268435456,1,44711.97,6003.66
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.21,0.00
1,1000,0.21,4.84
2,1000,0.20,9.97
4,1000,0.20,19.79
8,1000,0.20,39.77
16,1000,0.20,78.94
32,1000,0.24,133.00
