#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.77,0.00
1,1000,8.90,0.11
2,1000,8.90,0.22
4,1000,8.91,0.45
8,1000,8.91,0.90
16,1000,8.91,1.80
32,1000,8.89,3.60
64,1000,8.93,7.17
128,1000,9.21,13.90
256,1000,9.28,27.58
512,1000,9.32,54.96
1024,1000,10.32,99.23
2048,1000,9.82,208.57
4096,1000,11.70,349.96
8192,1000,12.47,656.94
16384,1000,16.83,973.62
32768,1000,26.95,1216.01
65536,640,62.75,1044.32
131072,320,88.25,1485.17
262144,160,135.33,1937.02
524288,80,208.06,2519.85
1048576,40,357.39,2933.99
2097152,20,675.07,3106.58
4194304,10,1344.40,3119.83
8388608,5,2646.60,3169.58
16777216,2,5401.42,3106.07
33554432,1,10873.19,3085.98
67108864,1,21545.05,3114.82
134217728,1,42836.07,3133.29
268435456,1,85929.75,3123.89
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.50,0.00
1,1000,8.58,0.12
2,1000,8.61,0.23
4,1000,8.61,0.46
8,1000,8.60,0.93
16,1000,8.61,1.86
32,1000,8.61,3.72
64,1000,8.61,7.44
128,1000,8.91,14.37
256,1000,8.97,28.55
512,1000,9.06,56.52
1024,1000,10.28,99.59
2048,1000,9.56,214.29
4096,1000,11.59,353.56
8192,1000,12.29,666.72
16384,1000,16.87,971.46
32768,1000,26.98,1214.43
65536,640,62.20,1053.66
131072,320,91.12,1438.42
262144,160,133.32,1966.25
524288,80,207.99,2520.72
1048576,40,357.33,2934.47
2097152,20,675.27,3105.66
4194304,10,1342.40,3124.48
8388608,5,2639.22,3178.44
16777216,2,5386.17,3114.87
33554432,1,10928.42,3070.38
67108864,1,21613.73,3104.92
134217728,1,43267.90,3102.02
268435456,1,86262.49,3111.84
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.48,0.00
1,1000,8.62,0.12
2,1000,8.63,0.23
4,1000,8.61,0.46
8,1000,8.61,0.93
16,1000,8.62,1.86
32,1000,8.66,3.70
64,1000,8.63,7.41
128,1000,8.95,14.30
256,1000,8.97,28.55
512,1000,9.09,56.31
1024,1000,10.08,101.58
2048,1000,9.60,213.24
4096,1000,11.43,358.33
8192,1000,12.29,666.33
16384,1000,16.71,980.72
32768,1000,26.77,1223.89
65536,640,61.92,1058.42
131072,320,91.46,1433.15
262144,160,135.09,1940.53
524288,80,207.78,2523.27
1048576,40,358.26,2926.82
2097152,20,674.13,3110.91
4194304,10,1335.26,3141.19
8388608,5,2632.12,3187.02
16777216,2,5346.08,3138.23
33554432,1,10821.93,3100.60
67108864,1,21463.58,3126.64
134217728,1,42857.03,3131.76
268435456,1,85799.23,3128.65
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.46,0.00
1,1000,8.56,0.12
2,1000,8.54,0.23
4,1000,8.53,0.47
8,1000,8.55,0.94
16,1000,8.57,1.87
32,1000,8.56,3.74
64,1000,8.62,7.43
128,1000,8.91,14.37
256,1000,8.95,28.60
512,1000,9.00,56.86
1024,1000,10.39,98.55
2048,1000,9.56,214.12
4096,1000,11.63,352.10
8192,1000,12.22,670.17
16384,1000,16.83,973.29
32768,1000,26.95,1215.78
65536,640,61.75,1061.29
131072,320,90.13,1454.25
262144,160,134.39,1950.59
524288,80,206.08,2544.09
1048576,40,356.81,2938.72
2097152,20,674.47,3109.35
4194304,10,1342.22,3124.89
8388608,5,2638.38,3179.45
16777216,2,5386.10,3114.91
33554432,1,10887.82,3081.83
67108864,1,21566.87,3111.66
134217728,1,42947.25,3125.18
268435456,1,85838.82,3127.20
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.43,0.00
1,1000,8.55,0.12
2,1000,8.55,0.23
4,1000,8.53,0.47
8,1000,8.53,0.94
16,1000,8.53,1.87
32,1000,8.55,3.74
64,1000,8.51,7.52
128,1000,8.88,14.41
256,1000,8.79,29.11
512,1000,8.92,57.43
1024,1000,10.10,101.40
2048,1000,9.34,219.17
4096,1000,11.42,358.67
8192,1000,12.13,675.07
16384,1000,16.68,982.33
32768,1000,26.84,1220.92
65536,640,62.48,1048.89
131072,320,91.39,1434.18
262144,160,133.06,1970.14
524288,80,206.64,2537.23
1048576,40,355.00,2953.76
2097152,20,671.78,3121.79
4194304,10,1332.31,3148.14
8388608,5,2617.95,3204.26
16777216,2,5334.08,3145.29
33554432,1,10840.77,3095.21
67108864,1,21463.28,3126.68
134217728,1,42680.32,3144.72
268435456,1,85232.73,3149.44
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.77,0.00
1,1000,8.96,0.11
2,1000,8.93,0.22
4,1000,8.95,0.45
8,1000,8.90,0.90
16,1000,8.92,1.79
32,1000,8.93,3.59
64,1000,8.98,7.13
128,1000,9.24,13.86
256,1000,9.28,27.58
512,1000,9.39,54.54
1024,1000,10.42,98.31
2048,1000,9.82,208.64
4096,1000,11.66,351.41
8192,1000,12.43,658.92
16384,1000,16.83,973.23
32768,1000,26.90,1218.05
65536,640,62.20,1053.67
131072,320,90.68,1445.38
262144,160,134.86,1943.85
524288,80,207.08,2531.87
1048576,40,356.85,2938.45
2097152,20,675.11,3106.41
4194304,10,1334.45,3143.10
8388608,5,2640.62,3176.76
16777216,2,5366.21,3126.46
33554432,1,10812.31,3103.35
67108864,1,21560.13,3112.64
134217728,1,42868.41,3130.92
268435456,1,85770.37,3129.70
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.52,0.00
1,1000,8.64,0.12
2,1000,8.66,0.23
4,1000,8.64,0.46
8,1000,8.66,0.92
16,1000,8.65,1.85
32,1000,8.66,3.69
64,1000,8.68,7.38
128,1000,8.99,14.23
256,1000,9.06,28.26
512,1000,9.12,56.15
1024,1000,10.34,99.05
2048,1000,9.63,212.77
4096,1000,11.59,353.51
8192,1000,12.34,663.72
16384,1000,16.79,975.92
32768,1000,26.85,1220.31
65536,640,61.80,1060.41
131072,320,91.17,1437.74
262144,160,134.62,1947.23
524288,80,206.38,2540.42
1048576,40,356.83,2938.55
2097152,20,675.11,3106.38
4194304,10,1337.16,3136.71
8388608,5,2653.83,3160.94
16777216,2,5427.49,3091.16
33554432,1,10941.46,3066.72
67108864,1,21507.00,3120.33
134217728,1,43076.71,3115.78
268435456,1,85385.49,3143.81
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.63,0.00
1,1000,8.73,0.11
2,1000,8.80,0.23
4,1000,8.80,0.45
8,1000,8.76,0.91
16,1000,8.73,1.83
32,1000,8.73,3.66
64,1000,8.77,7.29
128,1000,9.08,14.10
256,1000,9.10,28.13
512,1000,9.15,55.97
1024,1000,10.37,98.75
2048,1000,9.65,212.13
4096,1000,11.65,351.60
8192,1000,12.38,661.52
16384,1000,16.94,967.10
32768,1000,26.92,1217.19
65536,640,62.96,1040.89
131072,320,88.51,1480.95
262144,160,135.77,1930.77
524288,80,206.87,2534.43
1048576,40,357.01,2937.07
2097152,20,674.51,3109.16
4194304,10,1339.18,3131.99
8388608,5,2636.19,3182.09
16777216,2,5320.92,3153.07
33554432,1,10808.24,3104.52
67108864,1,21547.15,3114.51
134217728,1,43056.36,3117.26
268435456,1,85608.11,3135.63
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.83,0.00
1,1000,8.96,0.11
2,1000,8.96,0.22
4,1000,8.96,0.45
8,1000,8.93,0.90
16,1000,8.94,1.79
32,1000,8.94,3.58
64,1000,8.96,7.14
128,1000,9.28,13.80
256,1000,9.34,27.42
512,1000,9.36,54.68
1024,1000,10.36,98.80
2048,1000,9.89,207.06
4096,1000,11.67,350.89
8192,1000,12.57,651.69
16384,1000,17.03,962.22
32768,1000,27.08,1209.94
65536,640,62.43,1049.81
131072,320,90.97,1440.80
262144,160,135.98,1927.77
524288,80,208.22,2517.96
1048576,40,359.89,2913.60
2097152,20,678.05,3092.94
4194304,10,1343.14,3122.75
8388608,5,2644.87,3171.65
16777216,2,5374.67,3121.53
33554432,1,10877.37,3084.79
67108864,1,21625.77,3103.19
134217728,1,43013.31,3120.38
268435456,1,85877.42,3125.80
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.08,0.00
1,1000,9.61,0.10
2,1000,9.17,0.22
4,1000,9.17,0.44
8,1000,9.19,0.87
16,1000,9.18,1.74
32,1000,9.22,3.47
64,1000,9.21,6.95
128,1000,9.53,13.44
256,1000,9.55,26.82
512,1000,9.62,53.25
1024,1000,10.46,97.94
2048,1000,10.06,203.62
4096,1000,11.79,347.45
8192,1000,12.72,644.22
16384,1000,17.11,957.33
32768,1000,27.08,1209.89
65536,640,62.49,1048.68
131072,320,92.26,1420.64
262144,160,136.43,1921.39
524288,80,209.34,2504.45
1048576,40,360.26,2910.58
2097152,20,678.89,3089.08
4194304,10,1344.01,3120.74
8388608,5,2649.46,3166.16
16777216,2,5399.83,3106.99
33554432,1,10897.64,3079.06
67108864,1,21597.56,3107.24
134217728,1,43060.72,3116.94
268435456,1,86449.91,3105.10
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.50,0.00
1,1000,8.58,0.12
2,1000,8.62,0.23
4,1000,8.61,0.46
8,1000,8.59,0.93
16,1000,8.60,1.86
32,1000,8.61,3.72
64,1000,8.62,7.42
128,1000,8.90,14.38
256,1000,8.96,28.57
512,1000,9.01,56.86
1024,1000,10.04,101.96
2048,1000,9.54,214.59
4096,1000,11.28,363.12
8192,1000,12.17,673.14
16384,1000,16.45,996.18
32768,1000,27.07,1210.57
65536,640,62.69,1045.39
131072,320,90.56,1447.32
262144,160,135.71,1931.69
524288,80,207.77,2523.38
1048576,40,357.03,2936.98
2097152,20,675.45,3104.83
4194304,10,1337.83,3135.16
8388608,5,2644.47,3172.13
16777216,2,5392.75,3111.07
33554432,1,10849.00,3092.86
67108864,1,21413.58,3133.94
134217728,1,42775.88,3137.70
268435456,1,85779.01,3129.38
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.54,0.00
1,1000,8.65,0.12
2,1000,8.65,0.23
4,1000,8.69,0.46
8,1000,8.66,0.92
16,1000,8.65,1.85
32,1000,8.65,3.70
64,1000,8.69,7.37
128,1000,8.99,14.23
256,1000,9.03,28.34
512,1000,9.10,56.29
1024,1000,10.30,99.46
2048,1000,9.58,213.83
4096,1000,11.65,351.71
8192,1000,12.38,661.74
16384,1000,16.89,970.12
32768,1000,26.96,1215.24
65536,640,61.62,1063.49
131072,320,90.11,1454.53
262144,160,134.56,1948.14
524288,80,206.31,2541.24
1048576,40,356.53,2941.05
2097152,20,674.46,3109.38
4194304,10,1335.00,3141.80
8388608,5,2629.18,3190.58
