#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.89,0.00
1,1000,4.98,0.20
2,1000,4.98,0.40
4,1000,4.96,0.81
8,1000,4.98,1.61
16,1000,5.00,3.20
32,1000,4.99,6.41
64,1000,5.00,12.80
128,1000,5.06,25.30
256,1000,5.09,50.27
512,1000,5.15,99.51
1024,1000,5.77,177.49
2048,1000,5.51,371.59
4096,1000,6.38,641.86
8192,1000,6.80,1204.74
16384,1000,8.95,1830.37
32768,1000,13.99,2342.30
65536,640,29.65,2210.48
131072,320,43.91,2984.82
262144,160,62.43,4199.05
524288,80,97.48,5378.20
1048576,40,163.14,6427.50
2097152,20,319.13,6571.52
4194304,10,660.78,6347.52
8388608,5,1549.86,5412.48
16777216,2,3265.24,5138.13
33554432,1,6611.03,5075.52
67108864,1,13217.45,5077.29
134217728,1,26264.66,5110.20
268435456,1,51956.13,5166.58
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.91,0.00
1,1000,5.00,0.20
2,1000,5.00,0.40
4,1000,5.01,0.80
8,1000,5.00,1.60
16,1000,4.98,3.21
32,1000,5.00,6.40
64,1000,4.99,12.82
128,1000,5.08,25.22
256,1000,5.10,50.19
512,1000,5.16,99.29
1024,1000,5.72,179.11
2048,1000,5.52,370.83
4096,1000,6.40,640.47
8192,1000,6.87,1191.83
16384,1000,8.99,1821.97
32768,1000,14.26,2297.42
65536,640,29.72,2205.28
131072,320,44.08,2973.30
262144,160,61.79,4242.51
524288,80,97.70,5366.30
1048576,40,167.63,6255.38
2097152,20,326.45,6424.07
4194304,10,661.48,6340.75
8388608,5,1547.81,5419.65
16777216,2,3278.74,5116.96
33554432,1,6604.07,5080.87
67108864,1,13213.78,5078.70
134217728,1,26183.87,5125.97
268435456,1,51969.46,5165.25
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.90,0.00
1,1000,4.99,0.20
2,1000,4.98,0.40
4,1000,4.99,0.80
8,1000,5.00,1.60
16,1000,4.98,3.21
32,1000,4.99,6.41
64,1000,5.01,12.77
128,1000,5.06,25.27
256,1000,5.07,50.46
512,1000,5.14,99.55
1024,1000,5.77,177.60
2048,1000,5.51,371.63
4096,1000,6.36,643.69
8192,1000,6.81,1202.48
16384,1000,8.82,1857.83
32768,1000,14.03,2336.16
65536,640,29.73,2204.49
131072,320,43.96,2981.33
262144,160,62.39,4201.39
524288,80,98.06,5346.76
1048576,40,166.30,6305.47
2097152,20,323.70,6478.78
4194304,10,665.20,6305.29
8388608,5,1547.36,5421.25
16777216,2,3285.64,5106.22
33554432,1,6593.65,5088.90
67108864,1,13093.64,5125.30
134217728,1,26195.51,5123.69
268435456,1,51924.53,5169.72
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.96,0.00
1,1000,5.02,0.20
2,1000,5.01,0.40
4,1000,5.02,0.80
8,1000,5.02,1.59
16,1000,5.03,3.18
32,1000,5.03,6.36
64,1000,5.03,12.73
128,1000,5.10,25.12
256,1000,5.12,50.01
512,1000,5.18,98.92
1024,1000,5.75,178.05
2048,1000,5.56,368.29
4096,1000,6.40,640.19
8192,1000,6.90,1187.07
16384,1000,8.94,1832.77
32768,1000,14.31,2289.75
65536,640,29.76,2202.32
131072,320,44.14,2969.69
262144,160,62.59,4188.29
524288,80,98.24,5337.04
1048576,40,166.51,6297.24
2097152,20,325.44,6444.13
4194304,10,669.65,6263.39
8388608,5,1573.75,5330.34
16777216,2,3296.12,5090.00
33554432,1,6588.14,5093.16
67108864,1,13214.83,5078.30
134217728,1,26205.55,5121.73
268435456,1,51978.32,5164.37
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.90,0.00
1,1000,5.00,0.20
2,1000,5.00,0.40
4,1000,4.99,0.80
8,1000,4.99,1.60
16,1000,5.00,3.20
32,1000,5.00,6.41
64,1000,4.99,12.83
128,1000,5.06,25.28
256,1000,5.12,50.00
512,1000,5.15,99.44
1024,1000,5.77,177.61
2048,1000,5.55,368.79
4096,1000,6.40,639.65
8192,1000,6.83,1200.02
16384,1000,8.93,1834.95
32768,1000,14.06,2329.96
65536,640,29.55,2218.02
131072,320,43.84,2989.68
262144,160,61.75,4245.10
524288,80,98.57,5318.71
1048576,40,165.68,6329.04
2097152,20,324.02,6472.31
4194304,10,666.47,6293.30
8388608,5,1553.88,5398.50
16777216,2,3280.38,5114.42
33554432,1,6632.01,5059.47
67108864,1,13199.61,5084.16
134217728,1,26272.89,5108.60
268435456,1,51861.42,5176.01
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.90,0.00
1,1000,4.96,0.20
2,1000,4.94,0.41
4,1000,4.93,0.81
8,1000,4.93,1.62
16,1000,4.95,3.24
32,1000,4.96,6.45
64,1000,4.97,12.87
128,1000,5.03,25.47
256,1000,5.10,50.20
512,1000,5.14,99.58
1024,1000,5.81,176.17
2048,1000,5.52,371.06
4096,1000,6.43,636.65
8192,1000,6.84,1197.25
16384,1000,8.97,1826.86
32768,1000,14.09,2325.62
65536,640,29.75,2203.24
131072,320,44.16,2968.32
262144,160,61.76,4244.78
524288,80,97.23,5392.16
1048576,40,165.25,6345.25
2097152,20,322.87,6495.26
4194304,10,668.80,6271.39
8388608,5,1553.88,5398.51
16777216,2,3289.97,5099.50
33554432,1,6567.90,5108.86
67108864,1,13123.88,5113.49
134217728,1,26156.81,5131.27
268435456,1,51841.69,5177.98
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.90,0.00
1,1000,5.01,0.20
2,1000,5.00,0.40
4,1000,5.00,0.80
8,1000,5.02,1.59
16,1000,5.02,3.19
32,1000,5.01,6.39
64,1000,5.03,12.72
128,1000,5.07,25.22
256,1000,5.08,50.41
512,1000,5.15,99.39
1024,1000,5.74,178.53
2048,1000,5.52,371.05
4096,1000,6.40,640.28
8192,1000,6.81,1203.00
16384,1000,8.89,1843.87
32768,1000,14.04,2333.59
65536,640,29.90,2192.20
131072,320,44.42,2950.77
262144,160,62.47,4196.08
524288,80,98.33,5331.89
1048576,40,166.82,6285.65
2097152,20,325.78,6437.37
4194304,10,671.94,6242.05
8388608,5,1548.84,5416.06
16777216,2,3287.78,5102.90
33554432,1,6594.73,5088.07
67108864,1,13172.07,5094.78
134217728,1,26260.88,5110.94
268435456,1,51987.12,5163.50
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.89,0.00
1,1000,5.03,0.20
2,1000,5.00,0.40
4,1000,4.97,0.80
8,1000,5.02,1.59
16,1000,4.97,3.22
32,1000,4.98,6.42
64,1000,4.99,12.83
128,1000,5.08,25.18
256,1000,5.08,50.43
512,1000,5.13,99.76
1024,1000,5.71,179.32
2048,1000,5.52,370.87
4096,1000,6.37,642.75
8192,1000,6.84,1198.48
16384,1000,8.89,1842.78
32768,1000,14.07,2329.38
65536,640,29.69,2207.20
131072,320,44.09,2973.04
262144,160,62.76,4176.61
524288,80,98.42,5327.16
1048576,40,165.88,6321.48
2097152,20,324.24,6467.99
4194304,10,666.04,6297.34
8388608,5,1551.73,5405.96
16777216,2,3285.63,5106.24
33554432,1,6613.94,5073.29
67108864,1,13197.33,5085.03
134217728,1,26222.57,5118.40
268435456,1,52005.84,5161.64
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.86,0.00
1,1000,4.94,0.20
2,1000,4.95,0.40
4,1000,4.94,0.81
8,1000,4.94,1.62
16,1000,4.95,3.23
32,1000,4.95,6.46
64,1000,4.95,12.92
128,1000,5.01,25.55
256,1000,5.04,50.75
512,1000,5.08,100.87
1024,1000,5.69,179.88
2048,1000,5.49,373.22
4096,1000,6.38,642.46
8192,1000,6.82,1201.07
16384,1000,8.90,1841.52
32768,1000,13.98,2343.18
65536,640,29.76,2202.43
131072,320,44.54,2942.67
262144,160,62.46,4197.16
524288,80,98.32,5332.46
1048576,40,166.97,6279.92
2097152,20,326.58,6421.49
4194304,10,669.44,6265.44
8388608,5,1569.41,5345.08
16777216,2,3298.18,5086.81
33554432,1,6629.61,5061.29
67108864,1,13239.02,5069.02
134217728,1,26276.52,5107.90
268435456,1,52888.77,5075.47
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.92,0.00
1,1000,5.01,0.20
2,1000,5.02,0.40
4,1000,5.12,0.78
8,1000,5.01,1.60
16,1000,5.00,3.20
32,1000,5.01,6.39
64,1000,5.01,12.77
128,1000,5.08,25.19
256,1000,5.10,50.24
512,1000,5.13,99.89
1024,1000,5.70,179.73
2048,1000,5.51,371.92
4096,1000,6.34,645.84
8192,1000,6.83,1200.14
16384,1000,8.81,1859.83
32768,1000,14.11,2321.87
65536,640,30.08,2178.59
131072,320,44.30,2959.07
262144,160,62.83,4172.16
524288,80,98.11,5344.15
1048576,40,165.81,6323.90
2097152,20,322.96,6493.56
4194304,10,668.42,6274.97
8388608,5,1550.48,5410.33
16777216,2,3303.83,5078.12
33554432,1,6615.33,5072.22
67108864,1,13215.60,5078.00
134217728,1,26281.28,5106.97
268435456,1,51892.49,5172.91
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.93,0.00
1,1000,5.04,0.20
2,1000,5.05,0.40
4,1000,5.04,0.79
8,1000,5.05,1.58
16,1000,5.05,3.17
32,1000,5.04,6.35
64,1000,5.06,12.64
128,1000,5.11,25.06
256,1000,5.13,49.86
512,1000,5.17,99.01
1024,1000,5.79,176.73
2048,1000,5.58,366.73
4096,1000,6.43,636.59
8192,1000,6.89,1189.40
16384,1000,9.00,1820.69
32768,1000,14.30,2292.26
65536,640,29.82,2197.48
131072,320,44.15,2968.92
262144,160,62.85,4170.93
524288,80,98.24,5336.95
1048576,40,164.68,6367.47
2097152,20,319.40,6565.90
4194304,10,662.40,6331.95
8388608,5,1540.64,5444.89
16777216,2,3284.22,5108.43
33554432,1,6591.27,5090.74
67108864,1,13190.93,5087.50
134217728,1,26258.82,5111.34
268435456,1,51909.42,5171.23
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.92,0.00
1,1000,5.05,0.20
2,1000,5.04,0.40
4,1000,5.05,0.79
8,1000,5.04,1.59
16,1000,5.04,3.18
32,1000,5.03,6.37
64,1000,5.04,12.70
128,1000,5.09,25.14
256,1000,5.12,50.00
512,1000,5.15,99.44
1024,1000,5.82,176.09
2048,1000,5.58,367.29
4096,1000,6.45,634.90
8192,1000,6.92,1183.54
16384,1000,9.01,1817.46
32768,1000,14.35,2283.37
65536,640,29.78,2200.72
131072,320,44.37,2953.81
262144,160,62.63,4185.66
524288,80,98.10,5344.35
1048576,40,164.63,6369.44
2097152,20,324.41,6464.50
4194304,10,667.89,6279.94
8388608,5,1560.69,5374.95
16777216,2,3285.45,5106.52
33554432,1,6584.22,5096.19
67108864,1,13196.04,5085.53
134217728,1,26195.70,5123.66
268435456,1,51844.56,5177.70
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.93,0.00
1,1000,5.03,0.20
2,1000,5.01,0.40
4,1000,5.02,0.80
8,1000,5.01,1.60
16,1000,5.01,3.19
32,1000,5.02,6.37
64,1000,5.04,12.71
128,1000,5.08,25.19
256,1000,5.13,49.94
512,1000,5.19,98.71
1024,1000,5.76,177.80
2048,1000,5.56,368.25
4096,1000,6.45,635.07
8192,1000,6.89,1188.97
16384,1000,8.93,1833.94
32768,1000,14.24,2300.85
65536,640,29.96,2187.67
131072,320,44.08,2973.57
262144,160,62.63,4185.87
524288,80,98.53,5321.10
1048576,40,165.87,6321.76
2097152,20,326.22,6428.64
4194304,10,673.86,6224.28
8388608,5,1566.09,5356.39
16777216,2,3286.43,5105.00
33554432,1,6600.61,5083.53
67108864,1,13206.53,5081.49
134217728,1,26230.90,5116.78
268435456,1,51971.30,5165.07
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.88,0.00
1,1000,4.98,0.20
2,1000,4.97,0.40
4,1000,4.98,0.80
8,1000,4.98,1.61
16,1000,4.99,3.21
32,1000,4.98,6.43
64,1000,4.99,12.84
128,1000,5.04,25.40
256,1000,5.06,50.57
512,1000,5.10,100.31
1024,1000,5.77,177.53
2048,1000,5.51,371.80
4096,1000,6.42,638.20
8192,1000,6.86,1193.44
16384,1000,8.96,1828.34
32768,1000,14.26,2298.05
65536,640,29.69,2207.01
131072,320,44.16,2967.90
262144,160,62.33,4205.50
524288,80,97.93,5353.52
1048576,40,165.19,6347.61
2097152,20,323.80,6476.61
4194304,10,672.90,6233.21
8388608,5,1555.13,5394.15
16777216,2,3305.66,5075.30
33554432,1,6602.08,5082.40
67108864,1,13217.79,5077.16
134217728,1,26287.96,5105.67
268435456,1,51957.08,5166.48
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.91,0.00
1,1000,4.98,0.20
2,1000,4.98,0.40
4,1000,4.98,0.80
8,1000,4.95,1.62
16,1000,4.97,3.22
32,1000,4.99,6.42
64,1000,4.98,12.85
128,1000,5.04,25.37
256,1000,5.08,50.38
512,1000,5.12,100.06
1024,1000,5.81,176.34
2048,1000,5.56,368.37
4096,1000,6.40,639.55
8192,1000,6.92,1183.88
16384,1000,8.95,1831.36
32768,1000,14.41,2273.60
65536,640,29.89,2192.30
131072,320,44.14,2969.55
262144,160,62.47,4195.99
524288,80,98.25,5336.44
1048576,40,165.44,6338.24
2097152,20,324.92,6454.42
4194304,10,665.19,6305.42
8388608,5,1557.23,5386.87
16777216,2,3280.84,5113.70
33554432,1,6601.89,5082.55
67108864,1,13205.08,5082.05
134217728,1,26192.80,5124.22
268435456,1,51964.47,5165.75
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,4.93,0.00
1,1000,5.03,0.20
2,1000,5.02,0.40
4,1000,5.01,0.80
8,1000,5.01,1.60
16,1000,5.04,3.18
32,1000,5.03,6.37
64,1000,5.05,12.68
128,1000,5.08,25.18
256,1000,5.14,49.85
